"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"99",0,0.724989346122511,0.795,0.724,0,Health,WDFY3
"100",0,0.724083212121602,0.448,0.285,0,Health,LINC00278
"101",0,0.723707923346991,0.542,0.382,0,Health,FGGY
"102",0,0.723338870228804,0.706,0.576,0,Health,CPEB4
"103",0,0.718183921653953,0.293,0.067,0,Health,LINC00671
"104",0,0.717227243076048,0.588,0.397,0,Health,CLCN5
"105",0,0.717045583033964,0.684,0.587,0,Health,INSR
"106",0,0.716245819887774,0.55,0.38,0,Health,CYFIP2
"107",0,0.71111682261037,0.277,0.086,0,Health,KNG1
"108",0,0.705509465439382,0.808,0.669,0,Health,TNRC6A
"109",0,0.703804608932326,0.128,0.024,0,Health,RNF212B
"110",0,0.703281375654388,0.459,0.3,0,Health,BHMT2
"111",0,0.703204908689856,0.105,0.028,0,Health,CALB1
"112",0,0.70074857596945,0.27,0.115,0,Health,AGXT2
"113",0,0.700464725246323,0.609,0.453,0,Health,PTPN4
"114",0,0.699454520438305,0.258,0.162,0,Health,MAN1C1
"115",0,0.698409725626512,0.484,0.221,0,Health,ACOT11
"116",0,0.693543956922127,0.374,0.143,0,Health,ZNF385B
"117",0,0.691899472543681,0.276,0.118,0,Health,GLYAT
"118",0,0.690359438337474,0.324,0.083,0,Health,CLCNKA
"119",0,0.680559407071007,0.258,0.168,0,Health,AC087762.1
"120",0,0.67687552350331,0.466,0.376,0,Health,PTGER3
"121",0,0.673180549067217,0.616,0.429,0,Health,CPEB3
"122",0,0.672385124301542,0.555,0.314,0,Health,TAPT1-AS1
"123",0,0.670979038366563,0.313,0.2,0,Health,SLC17A1
"124",0,0.669703252480051,0.396,0.226,0,Health,MYO3B
"125",0,0.666906205173976,0.381,0.24,0,Health,PDZK1
"126",0,0.665794678874061,0.287,0.149,0,Health,MME
"127",0,0.665684515105919,0.356,0.227,0,Health,SLIT2
"128",0,0.658356321061171,0.803,0.721,0,Health,CUX1
"129",0,0.654502636733846,0.616,0.391,0,Health,ACACB
"130",0,0.653861806392648,0.282,0.1,0,Health,KL
"131",0,0.652309680897705,0.273,0.134,0,Health,MIR646HG
"132",0,0.650800356072801,0.334,0.178,0,Health,SLC47A1
"133",0,0.64896102038714,0.469,0.287,0,Health,FREM2
"134",0,0.646237430725086,0.824,0.744,0,Health,IGF1R
"135",0,0.644258186323285,0.264,0.14,0,Health,KCTD16
"136",0,0.640208549834559,0.322,0.177,0,Health,AC034195.1
"137",0,0.640176949501515,0.469,0.302,0,Health,SLC16A12
"138",0,0.628414066552697,0.625,0.481,0,Health,PPARGC1A
"139",0,0.625629400159518,0.32,0.193,0,Health,RBFOX1
"140",0,0.623875450617504,0.38,0.174,0,Health,DAB1
"141",0,0.623161201192259,0.852,0.733,0,Health,KANSL1
"142",0,0.620631321125321,0.445,0.234,0,Health,STK32B
"143",0,0.619874416897554,0.326,0.204,0,Health,ATP6V0A4
"144",0,0.619162124330665,0.202,0.074,0,Health,PAH
"145",0,0.618566146155692,0.481,0.294,0,Health,FAM85B
"146",0,0.615726301392525,0.381,0.262,0,Health,DACH1
"147",0,0.615702277903366,0.815,0.748,0,Health,FARP1
"148",0,0.60997751121217,0.586,0.397,0,Health,CCDC198
"149",0,0.609910173206314,0.723,0.556,0,Health,NAALADL2
"150",0,0.608119293012483,0.332,0.23,0,Health,SLC2A9
"151",0,0.607699868879022,0.594,0.475,0,Health,CDK14
"152",0,0.606243681175508,0.255,0.083,0,Health,MIOX
"153",0,0.603169862079296,0.463,0.307,0,Health,GPC6
"154",0,0.602936186442983,0.661,0.488,0,Health,VAV3
"155",0,0.602848630303436,0.158,0.03,0,Health,SLC34A1
"156",0,0.601805842460683,0.789,0.686,0,Health,NEDD4L
"157",0,0.601087130308543,0.196,0.026,0,Health,TMEM246-AS1
"158",0,0.600521078611739,0.727,0.575,0,Health,ARHGAP24
"159",0,0.600095960416046,0.129,0.01,0,Health,AC092078.2
