"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"126",0,0.553252187910845,0.225,0.089,0,Health,CAMK2N1
"127",0,0.552230432499286,0.494,0.305,0,Health,ST13
"128",0,0.550703571868248,0.365,0.183,0,Health,DCXR
"129",0,0.544487733891671,0.176,0.048,0,Health,APOM
"130",0,0.537555266621272,0.262,0.101,0,Health,CRYL1
"131",0,0.531138192910499,0.129,0.022,0,Health,SLC16A4
"132",0,0.529247091846645,0.139,0.03,0,Health,ACO1
"133",0,0.527872478604666,0.148,0.028,0,Health,ALDH7A1
"134",0,0.526436849405314,0.282,0.118,0,Health,MT1F
"135",0,0.525100127331934,0.117,0.02,0,Health,PRAP1
"136",0,0.523092964945141,0.213,0.074,0,Health,TMEM176A
"137",0,0.52167353118057,0.388,0.198,0,Health,ATOX1
"138",0,0.521463387632418,0.105,0.011,0,Health,NOX4
"139",0,0.520190525327408,0.176,0.058,0,Health,SLC7A7
"140",0,0.516911947828903,0.119,0.019,0,Health,SLC27A2
"141",0,0.509596382823185,0.16,0.055,0,Health,LGMN
"142",0,0.508824399609665,0.124,0.016,0,Health,GPD1
"143",0,0.508339897822257,0.269,0.121,0,Health,ACAA2
"144",0,0.507626018985025,0.285,0.181,0,Health,CD81
"145",0,0.505934529893139,0.117,0.018,0,Health,SLC22A2
"146",0,0.504664500452345,0.111,0.018,0,Health,ABAT
"147",0,0.503069881838858,0.137,0.03,0,Health,NUPR1
"148",0,0.502644457266985,0.142,0.031,0,Health,AMN
"149",0,0.497426585017331,0.257,0.106,0,Health,ECI2
"150",0,0.496648686398457,0.128,0.028,0,Health,ACADSB
"151",0,0.496468786669227,0.103,0.012,0,Health,SLC22A12
"152",0,0.496049730844826,0.161,0.053,0,Health,PCYOX1
"153",0,0.495660628655005,0.266,0.12,0,Health,ALDH2
"154",0,0.494763330025862,0.199,0.067,0,Health,ECI1
"155",0,0.494121273465383,0.173,0.059,0,Health,GALNT11
"156",0,0.488596020245033,0.312,0.168,0,Health,GLS
"157",0,0.48058371745092,0.497,0.295,0,Health,DSTN
"158",0,0.478128493516834,0.205,0.089,0,Health,CPEB4
"159",0,0.476558026391405,0.245,0.097,0,Health,GCSH
"160",0,0.472939168844484,0.261,0.121,0,Health,ACAA1
"161",0,0.472332012875604,0.135,0.031,0,Health,PCK2
"162",0,0.471371624192442,0.175,0.048,0,Health,FAM213A
"163",0,0.470937682787602,0.288,0.138,0,Health,AKR1A1
"164",0,0.46947231540205,0.271,0.118,0,Health,ACADM
"165",0,0.463197968754256,0.282,0.134,0,Health,CAT
"166",0,0.463082498657691,0.244,0.107,0,Health,CNDP2
"167",0,0.462887658014808,0.132,0.024,0,Health,GIPC2
"168",0,0.458307682674098,0.105,0.016,0,Health,AOC1
"169",0,0.458177005936534,0.147,0.046,0,Health,NR2F2
"170",0,0.450318110125423,0.217,0.078,0,Health,NQO2
"171",0,0.448234395322383,0.137,0.041,0,Health,GK
"172",0,0.447950231489112,0.17,0.06,0,Health,RBM47
"173",0,0.447862268230619,0.126,0.021,0,Health,SLC6A13
"174",0,0.447450112605784,0.208,0.106,0,Health,GSN
"175",0,0.447016472278045,0.573,0.392,0,Health,LDHB
"176",0,0.446298004254547,0.282,0.123,0,Health,DEFB1
"177",0,0.446099469326422,0.164,0.053,0,Health,HADH
"178",0,0.44595438710008,0.182,0.054,0,Health,AKR1C3
"179",0,0.444965245233303,0.11,0.02,0,Health,PSAT1
"180",0,0.44108855201099,0.329,0.162,0,Health,ADIRF
"181",0,0.438068300862485,0.104,0.026,0,Health,DPP4
"182",0,0.437726673536933,0.539,0.35,0,Health,ATPIF1
"183",0,0.435818735836763,0.219,0.085,0,Health,IMPA2
"184",0,0.435001317810867,0.134,0.046,0,Health,AGPAT9
"185",0,0.432332551704519,0.283,0.138,0,Health,CTSH
"186",0,0.431828847297815,0.148,0.049,0,Health,ACSL1
"187",0,0.42928635515312,0.13,0.041,0,Health,CES2
"188",0,0.426915548943439,0.232,0.108,0,Health,GLUD1
"189",0,0.424697135170318,0.164,0.06,0,Health,KIAA1191
"190",0,0.422521410455014,0.201,0.074,0,Health,MSRA
"191",0,0.419401641332619,0.478,0.315,0,Health,GNAS
"192",0,0.417093890387217,0.265,0.125,0,Health,PCBD1
"193",0,0.413051156748351,0.248,0.137,0,Health,PHYH
"194",0,0.41245010232786,0.412,0.24,0,Health,IGFBP7
"195",0,0.410112436905634,0.63,0.445,0,Health,HSPB1
"196",0,0.409230493539517,0.21,0.105,0,Health,TPM1
"197",0,0.407686498053442,0.141,0.034,0,Health,PPP1R16A
"198",0,0.406892940036709,0.201,0.088,0,Health,HIBCH
"199",0,0.406667217299408,0.201,0.094,0,Health,SLC9A3R1
"200",0,0.404574707151894,0.224,0.096,0,Health,C21orf33
"201",0,0.402373384121827,0.366,0.202,0,Health,ETFB
"202",0,0.399643207881104,0.585,0.4,0,Health,ATP5I
"203",0,0.398655580059347,0.11,0.025,0,Health,CYS1
"204",0,0.398023083622426,0.182,0.066,0,Health,ISOC2
"205",0,0.39738016539191,0.148,0.048,0,Health,AIF1L
"206",0,0.396999648340991,0.102,0.016,0,Health,CTXN3
"207",0,0.394491451197518,0.103,0.017,0,Health,ANGPTL3
"208",0,0.394063748396607,0.152,0.042,0,Health,NFIB
"209",0,0.393997542828019,0.1,0.017,0,Health,ACSF2
"210",0,0.391592938300995,0.574,0.381,0,Health,PRDX1
"211",0,0.3904001006356,0.428,0.255,0,Health,CHCHD10
"212",0,0.389971650617829,0.812,0.601,0,Health,RPS26
"213",0,0.388823698523524,0.11,0.019,0,Health,HAO2
"214",0,0.382703051347159,0.111,0.023,0,Health,ALDH1L1
"215",0,0.382481215675687,0.201,0.077,0,Health,CTNNA1
"216",0,0.381922660823195,0.119,0.037,0,Health,AGPAT3
