"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Atp6v1g3",21,0,1.95569502637238,0.12,0.035,0,"Health","ATP6V1G3"
"Kl",5925,0,-1.50224565283241,0.038,0.263,0,"CKD","KL"
"Kl",4772,4.03708473317814e-31,-0.509171305209041,0.205,0.24,9.39348875715889e-27,"Recovery","KL"
"Kl",3456,0,-1.51491369791468,0.139,0.301,0,"AKI","KL"
"Kl",22,0,1.95532804267441,0.439,0.133,0,"Health","KL"
"Cyp4b1",3468,0,-1.80335490535474,0.077,0.286,0,"AKI","CYP4B1"
"Cyp4b1",24,0,1.92915938411196,0.403,0.101,0,"Health","CYP4B1"
"Cyp4b1",5878,0,-1.18486460091383,0.072,0.22,0,"CKD","CYP4B1"
"Acy3",3466,0,-1.67722148709297,0.049,0.253,0,"AKI","ACY3"
"Acy3",4827,7.40459277816652e-23,-0.364369538176556,0.144,0.175,1.72290064762379e-18,"Recovery","ACY3"
"Acy3",5872,0,-1.1501384309557,0.047,0.188,0,"CKD","ACY3"
"Acy3",25,0,1.92311616760904,0.375,0.068,0,"Health","ACY3"
"Slc4a4",4293,1.87590120223244e-158,-0.781668770551101,0.107,0.19,4.36484691735445e-154,"Recovery","SLC4A4"
"Slc4a4",26,0,1.90841668238496,0.394,0.071,0,"Health","SLC4A4"
"Slc4a4",5867,0,-1.10260400192779,0.042,0.198,0,"CKD","SLC4A4"
"Slc4a4",3447,0,-1.43658213435076,0.068,0.254,0,"AKI","SLC4A4"
"Atp5k",27,0,1.90789472959783,0.777,0.507,0,"Health","ATP5ME"
"Atp5k",3443,0,-1.38481545562213,0.523,0.648,0,"AKI","ATP5ME"
"Atp5k",4211,1.25660677917693e-239,-0.81025553380408,0.511,0.611,2.92387265378889e-235,"Recovery","ATP5ME"
"Atp5k",5882,0,-1.20980154443347,0.451,0.618,0,"CKD","ATP5ME"
"Chpt1",28,0,1.90004773862546,0.608,0.27,0,"Health","CHPT1"
"Chpt1",3452,0,-1.48608466923809,0.287,0.448,0,"AKI","CHPT1"
"Chpt1",5933,0,-1.61104383169652,0.129,0.419,0,"CKD","CHPT1"
"Chpt1",4793,2.51941173100125e-29,-0.371546348192756,0.352,0.388,5.86216721569372e-25,"Recovery","CHPT1"
"Pck1",30,0,1.88376818177447,0.436,0.079,0,"Health","PCK1"
"Pck1",4563,3.80331425858192e-63,-0.457202029992772,0.15,0.205,8.84955161686842e-59,"Recovery","PCK1"
"Pck1",3448,0,-1.44809715576276,0.065,0.288,0,"AKI","PCK1"
"Pck1",5924,0,-1.48204162891093,0.045,0.22,0,"CKD","PCK1"
"Pah",31,0,1.85549757783146,0.383,0.047,0,"Health","PAH"
"Pah",5875,0,-1.16885967142079,0.027,0.178,0,"CKD","PAH"
"Pah",4557,7.98129269789911e-64,-0.549171619949686,0.118,0.166,1.85708718494717e-59,"Recovery","PAH"
"Pah",3450,0,-1.45664806900777,0.03,0.247,0,"AKI","PAH"
"Guca2b",4533,5.67466615089229e-69,-0.573155223646588,0.143,0.2,1.32038131998962e-64,"Recovery","GUCA2B"
"Guca2b",32,0,1.847630297222,0.403,0.086,0,"Health","GUCA2B"
"Guca2b",3440,0,-1.3617818891168,0.08,0.268,0,"AKI","GUCA2B"
"Guca2b",5915,0,-1.38649277766532,0.045,0.213,0,"CKD","GUCA2B"
"Sord",3459,0,-1.60247992139863,0.089,0.336,0,"AKI","SORD"
"Sord",5891,0,-1.24987866271258,0.082,0.258,0,"CKD","SORD"
"Sord",33,0,1.84093135521887,0.473,0.118,0,"Health","SORD"
"Sord",4898,0.00629476641754196,-0.232378488165118,0.236,0.236,1,"Recovery","SORD"
"Inmt",5876,0,-1.16914166965422,0.024,0.161,0,"CKD","INMT"
"Inmt",3461,0,-1.6203652744877,0.017,0.231,0,"AKI","INMT"
"Inmt",34,0,1.82479765633308,0.343,0.044,0,"Health","INMT"
"Nat8f1",3465,0,-1.66980988886299,0.045,0.267,0,"AKI","NAT8"
"Nat8f1",35,0,1.82056169859253,0.398,0.066,0,"Health","NAT8"
"Nat8f1",5884,0,-1.21944993048466,0.043,0.196,0,"CKD","NAT8"
"Khk",5861,0,-1.08225789849929,0.093,0.232,0,"CKD","KHK"
"Khk",4705,1.7320432153763e-40,-0.463495305411255,0.181,0.22,4.03011815353757e-36,"Recovery","KHK"
"Khk",3451,0,-1.46340931463866,0.092,0.298,0,"AKI","KHK"
"Khk",36,0,1.8049727579252,0.424,0.11,0,"Health","KHK"
"Uqcr10",5907,0,-1.34566058680077,0.535,0.727,0,"CKD","UQCR10"
"Uqcr10",3432,0,-1.24758105468635,0.651,0.738,0,"AKI","UQCR10"
"Uqcr10",4220,1.51046724892264e-228,-0.702954137187671,0.63,0.714,3.51455519479321e-224,"Recovery","UQCR10"
"Uqcr10",37,0,1.80183848625773,0.859,0.625,0,"Health","UQCR10"
"Pdzk1",3444,0,-1.38622301043993,0.042,0.253,0,"AKI","PDZK1"
"Pdzk1",4502,1.39930913568871e-75,-0.530533597322732,0.121,0.175,3.25591249692049e-71,"Recovery","PDZK1"
"Pdzk1",38,0,1.79480133238999,0.389,0.057,0,"Health","PDZK1"
"Pdzk1",5874,0,-1.151664773704,0.036,0.187,0,"CKD","PDZK1"
"Gabarapl1",3458,0,-1.59295646368358,0.196,0.413,0,"AKI","GABARAPL1"
"Gabarapl1",39,0,1.75943409404539,0.532,0.222,0,"Health","GABARAPL1"
"Gabarapl1",5881,0,-1.20424284389861,0.154,0.35,0,"CKD","GABARAPL1"
"Aldh6a1",5860,0,-1.08207829379126,0.052,0.23,0,"CKD","ALDH6A1"
"Aldh6a1",3439,0,-1.33148645228161,0.095,0.284,0,"AKI","ALDH6A1"
"Aldh6a1",4654,3.85202090129179e-48,-0.568649059158507,0.174,0.213,8.96288223312574e-44,"Recovery","ALDH6A1"
"Aldh6a1",40,0,1.75275208385353,0.417,0.103,0,"Health","ALDH6A1"
"Uqcr11",5883,0,-1.21001986142743,0.488,0.689,0,"CKD","UQCR11"
"Uqcr11",41,0,1.75100561967083,0.829,0.581,0,"Health","UQCR11"
"Uqcr11",3436,0,-1.3170035482581,0.597,0.709,0,"AKI","UQCR11"
"Uqcr11",4419,9.67552179548187e-98,-0.508459771847249,0.618,0.67,2.25130041137272e-93,"Recovery","UQCR11"
"Chchd10",5941,0,-1.79681367863298,0.202,0.614,0,"CKD","CHCHD10"
