"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"YPEL5",7.42976346962226e-14,-0.30000174634714,0.143,0.147,2.31229098701584e-09
"RPL10A",1.31752230794163e-10,-0.334643516538609,0.362,0.341,4.10039292677594e-06
"CALD1",5.84026063131527e-10,-0.480821144518724,0.297,0.294,1.81760591367794e-05
"RPSA",7.94764744918418e-10,-0.288682692647114,0.286,0.277,2.4734668391351e-05
"RPL32",9.87871138352749e-08,-0.446355034413282,0.427,0.386,0.00307445255678142
"CLIC1",2.02411927798658e-07,-0.253835054132747,0.201,0.199,0.00629946401694984
"RPL11",7.87910390530237e-07,-0.307812257603757,0.431,0.402,0.024521347174082
"RPS13",8.8887050923504e-07,-0.343121017547293,0.389,0.361,0.0276634279884129
"RPS4X",1.42896311495475e-06,-0.328286008505925,0.399,0.37,0.0444721900636216
"RPL35",1.38786037911269e-05,-0.299557389058517,0.408,0.361,0.43192990718745
"RPS15",0.000143104559530649,-0.406772208943671,0.419,0.373,1
"TMTC1",0.00168168271593138,-0.301084755572389,0.122,0.123,1
"RPS9",0.0023710701596726,-0.27630450831182,0.402,0.378,1
"RPS20",0.00243877613329647,-0.265594959208442,0.374,0.339,1
"RPS3A",0.00339343561503507,-0.274338656306503,0.418,0.389,1
"PFDN5",0.00682070888738265,-0.305319881219432,0.354,0.333,1
"DNAJA1",0.0148684818529792,-0.288399871709908,0.237,0.223,1
"DEPTOR",0.0169590492012866,-0.294090193260502,0.238,0.23,1
"RPL36",0.0364962905892907,-0.327156915491026,0.404,0.373,1
"S100A11",0.0642181527309448,-0.253656501085562,0.219,0.215,1
"RPL28",0.326832638399208,-0.299262534182549,0.415,0.381,1
"RPS12",0.547451493986366,-0.303278065845686,0.429,0.391,1
"RPL12",0.558643165241148,-0.251946169206545,0.401,0.37,1
"RPS5",0.586212655730886,-0.286122014603593,0.334,0.309,1
"FAU",0.763915777056414,-0.284110763401564,0.379,0.344,1
