"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Slc16a7",795,0,-0.33183716951563,0.019,0.148,0,"CKD","SLC16A7"
"Enpp2",794,0,-0.330426156407773,0.101,0.243,0,"CKD","ENPP2"
"Enpp2",44,0,0.330426156407773,0.243,0.101,0,"Health","ENPP2"
"Kcnj1",45,0,0.330246552502551,0.145,0.019,0,"Health","KCNJ1"
"Kcnj1",793,0,-0.330246552502551,0.019,0.145,0,"CKD","KCNJ1"
"Clu",792,0,-0.323553467180393,0.041,0.158,0,"CKD","CLU"
"Clu",46,0,0.323553467180393,0.158,0.041,0,"Health","CLU"
"Oat",47,0,0.323190873805348,0.23,0.075,0,"Health","OAT"
"Oat",791,0,-0.323190873805348,0.075,0.23,0,"CKD","OAT"
"Pvalb",48,0,0.320443100817917,0.112,0.012,0,"Health","PVALB"
"Pvalb",790,0,-0.320443100817917,0.012,0.112,0,"CKD","PVALB"
"Fbp1",789,0,-0.31848037546856,0.319,0.436,0,"CKD","FBP1"
"Fbp1",49,0,0.31848037546856,0.436,0.319,0,"Health","FBP1"
"Sostdc1",50,0,0.315908179186356,0.146,0.025,0,"Health","SOSTDC1"
"Sostdc1",788,0,-0.315908179186356,0.025,0.146,0,"CKD","SOSTDC1"
"Uqcrc1",787,0,-0.311816295746752,0.277,0.413,0,"CKD","UQCRC1"
"Uqcrc1",51,0,0.311816295746752,0.413,0.277,0,"Health","UQCRC1"
"Wfdc2",786,0,-0.308888385564675,0.113,0.222,0,"CKD","WFDC2"
"Wfdc2",52,0,0.308888385564675,0.222,0.113,0,"Health","WFDC2"
"Pah",785,0,-0.302618565124241,0.34,0.45,0,"CKD","PAH"
"Pah",53,0,0.302618565124241,0.45,0.34,0,"Health","PAH"
"Car14",784,0,-0.298968457444286,0.077,0.212,0,"CKD","CA14"
"Car14",54,0,0.298968457444286,0.212,0.077,0,"Health","CA14"
"Slc5a12",783,0,-0.298005787669834,0.092,0.209,0,"CKD","SLC5A12"
"Slc5a12",55,0,0.298005787669834,0.209,0.092,0,"Health","SLC5A12"
"Sdha",782,0,-0.29704242469833,0.286,0.415,0,"CKD","SDHA"
"Sdha",56,0,0.29704242469833,0.415,0.286,0,"Health","SDHA"
"Nudt4",57,0,0.295120993942166,0.3,0.203,0,"Health","NUDT4"
"Nudt4",781,0,-0.295120993942166,0.203,0.3,0,"CKD","NUDT4"
"Hoxd8",58,0,0.288287598962555,0.156,0.034,0,"Health","HOXD8"
"Hoxd8",780,0,-0.288287598962555,0.034,0.156,0,"CKD","HOXD8"
"Ass1",779,0,-0.288274903128349,0.635,0.688,0,"CKD","ASS1"
"Ass1",59,0,0.288274903128349,0.688,0.635,0,"Health","ASS1"
"S100a1",778,0,-0.284507917467248,0.485,0.579,0,"CKD","S100A1"
"S100a1",60,0,0.284507917467248,0.579,0.485,0,"Health","S100A1"
"Car12",61,0,0.28278605619037,0.268,0.161,0,"Health","CA12"
"Car12",777,0,-0.28278605619037,0.161,0.268,0,"CKD","CA12"
"Asl",62,0,0.281215867526551,0.259,0.141,0,"Health","ASL"
"Asl",776,0,-0.281215867526551,0.141,0.259,0,"CKD","ASL"
"Lgmn",775,0,-0.281209389639212,0.315,0.421,0,"CKD","LGMN"
"Lgmn",63,0,0.281209389639212,0.421,0.315,0,"Health","LGMN"
"Slc5a2",64,0,0.280908208468466,0.229,0.127,0,"Health","SLC5A2"
"Slc5a2",774,0,-0.280908208468466,0.127,0.229,0,"CKD","SLC5A2"
"Atp1b1",65,0,0.277950051852905,0.751,0.659,0,"Health","ATP1B1"
"Atp1b1",773,0,-0.277950051852905,0.659,0.751,0,"CKD","ATP1B1"
"Atp6v1e1",67,0,0.273468039602777,0.472,0.37,0,"Health","ATP6V1E1"
"Atp6v1e1",771,0,-0.273468039602777,0.37,0.472,0,"CKD","ATP6V1E1"
"Slc25a5",770,0,-0.272163177962266,0.616,0.703,0,"CKD","SLC25A5"
"Slc25a5",68,0,0.272163177962266,0.703,0.616,0,"Health","SLC25A5"
"Atp5g3",69,0,0.263645861897533,0.759,0.675,0,"Health","ATP5MC3"
"Atp5g3",769,0,-0.263645861897533,0.675,0.759,0,"CKD","ATP5MC3"
"Dbp",768,0,-0.262743936150519,0.107,0.22,0,"CKD","DBP"
"Dbp",70,0,0.262743936150519,0.22,0.107,0,"Health","DBP"
