"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"1",0,2.06188407769162,0.106,0.022,0,Health,KLK1
"2",0,2.05489016875055,0.261,0.12,0,Health,ALDOB
"3",0,1.88519660639367,0.532,0.084,0,Health,PDK4
"4",0,1.80057377298833,0.229,0.032,0,Health,GSTA2
"5",0,1.72328931082974,0.28,0.083,0,Health,GSTA1
"6",0,1.67047262337868,0.247,0.115,0,Health,MIOX
"7",0,1.65435991307145,0.446,0.052,0,Health,NR4A1
"8",0,1.63161338624573,0.268,0.15,0,Health,IGFBP5
"9",0,1.37453928741255,0.243,0.164,0,Health,UGT2B7
"10",0,1.36742518231844,0.195,0.047,0,Health,FABP1
"11",0,1.29972193514337,0.173,0.041,0,Health,ALB
"12",0,1.25055549254438,0.228,0.068,0,Health,HPD
"13",0,1.19236049670903,0.381,0.185,0,Health,TIMP3
"14",0,1.18172396497738,0.31,0.099,0,Health,PCK1
"15",0,1.15722183433959,0.23,0.117,0,Health,CALB1
"16",0,1.14195716002969,0.412,0.305,0,Health,APOE
"17",0,1.11288442661158,0.654,0.341,0,Health,CEBPD
"18",0,1.07923189808668,0.451,0.154,0,Health,EGR1
"19",0,1.06347220868391,0.226,0.096,0,Health,EPAS1
"20",0,1.05609466869145,0.542,0.258,0,Health,ADIRF
"21",0,1.05227668107658,0.289,0.063,0,Health,ATF3
"22",0,1.04816656120627,0.416,0.267,0,Health,IER3
"23",0,1.03960616259993,0.325,0.058,0,Health,FKBP5
"24",0,1.03440427565839,0.227,0.114,0,Health,MGP
"25",0,1.0156840434514,0.414,0.087,0,Health,KLF9
"26",0,0.993834579712284,0.388,0.133,0,Health,SGK1
"27",0,0.958336496500462,0.999,0.948,0,Health,MT-ND1
"28",0,0.954633740834584,0.582,0.266,0,Health,ZFAND5
"29",0,0.943548790829977,0.563,0.559,0,Health,DEFB1
"30",0,0.926722211386648,0.178,0.069,0,Health,PRODH2
"31",0,0.923448381668244,0.341,0.191,0,Health,TMEM52B
"32",0,0.894410213570462,0.18,0.098,0,Health,CUBN
"33",0,0.892008429779143,0.276,0.045,0,Health,ERRFI1
"34",0,0.88331359005835,0.153,0.035,0,Health,SLC22A8
"35",0,0.877677624887201,0.354,0.137,0,Health,SEPP1
"36",0,0.875935738673169,0.427,0.167,0,Health,BTG2
"37",0,0.868321910171702,0.152,0.049,0,Health,MME
"38",0,0.863577263425725,0.42,0.151,0,Health,GADD45A
"39",0,0.859837827022261,0.178,0.071,0,Health,PAH
"40",0,0.856001822760898,0.144,0.022,0,Health,FAM151A
"41",0,0.852099859950985,0.149,0.049,0,Health,RGCC
"42",0,0.844065027305469,0.241,0.096,0,Health,EGF
"43",0,0.843458081841412,0.255,0.164,0,Health,ASS1
"44",0,0.827600480735631,0.461,0.225,0,Health,ALDH6A1
"45",0,0.818887361870752,1,0.96,0,Health,MT-CYB
"46",0,0.814505499591068,0.421,0.171,0,Health,TSC22D3
"47",0,0.811400605566838,0.514,0.243,0,Health,KLF6
"48",0,0.791874995569445,0.437,0.224,0,Health,GADD45B
"49",0,0.787451094074612,0.178,0.09,0,Health,DPEP1
"50",0,0.786427782761796,0.247,0.095,0,Health,RHCG
"51",0,0.779608946985031,0.999,0.962,0,Health,MT-ND2
"52",0,0.769799274923412,0.528,0.258,0,Health,ZFP36
"53",0,0.756606712711166,0.996,0.937,0,Health,MT-ND3
"54",0,0.733134683300659,0.52,0.354,0,Health,HSPA1A
"55",0,0.728499643239407,0.162,0.039,0,Health,PPAP2B
"56",0,0.728063225327232,0.321,0.134,0,Health,KL
"57",0,0.727190584321976,0.103,0.028,0,Health,FLT1
"58",0,0.72452134207777,0.321,0.143,0,Health,SERPINA5
"59",0,0.720841057209862,0.279,0.097,0,Health,ARG2
"60",0,0.716695785443999,0.283,0.056,0,Health,USP2
"61",0,0.690457280886158,0.781,0.635,0,Health,MT2A
"62",0,0.689816648911839,0.758,0.58,0,Health,CYB5A
"63",0,0.676804973307581,0.284,0.117,0,Health,G0S2
"64",0,0.66892978593566,0.315,0.107,0,Health,SLC7A8
"65",0,0.668289734348281,0.295,0.131,0,Health,RASD1
"66",0,0.662077563000089,0.473,0.308,0,Health,WNK1
"67",0,0.652594246008909,0.21,0.034,0,Health,TIPARP
"68",0,0.648256851144371,0.164,0.048,0,Health,HRSP12
"69",0,0.642748638331473,0.128,0.029,0,Health,SLC22A6
"70",0,0.642687835924431,0.178,0.057,0,Health,APOM
"71",0,0.622650074537009,0.367,0.216,0,Health,PEPD
"72",0,0.613261230158078,0.354,0.179,0,Health,SEC14L1
"73",0,0.60873959056779,0.384,0.127,0,Health,XIST
"74",0,0.606008334592373,0.299,0.041,0,Health,PER1
"75",0,0.60272420563935,0.356,0.167,0,Health,CMBL
"76",0,0.586130978808616,0.429,0.227,0,Health,GNB2L1
"77",0,0.584332855904567,0.105,0.014,0,Health,PLG
"78",0,0.574918681476435,0.506,0.27,0,Health,HIST1H4C
"79",0,0.574763293415131,0.535,0.35,0,Health,CA12
"80",0,0.554857220677319,0.274,0.148,0,Health,IGFBP4
"81",0,0.550111469267613,0.298,0.123,0,Health,SELM
"82",0,0.545331164005313,0.332,0.14,0,Health,SEPW1
"83",0,0.544956752821742,0.377,0.183,0,Health,ATPIF1
"84",0,0.543517760513368,0.581,0.384,0,Health,SUCLG1
"85",0,0.538205072820029,0.311,0.112,0,Health,SERTAD1
"86",0,0.5378057331495,0.358,0.169,0,Health,CSRP1
