"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Cpeb3",35,0,0.845128105672624,0.265,0.178,0,"Health","CPEB3"
"Cpeb3",731,0,-0.829474742076303,0.144,0.238,0,"AKI","CPEB3"
"Ctnna2",771,0,-1.0518987794045,0.035,0.104,0,"AKI","CTNNA2"
"Ctnna2",36,0,0.844471406227644,0.121,0.061,0,"Health","CTNNA2"
"Thrb",37,0,0.837435932487138,0.292,0.222,0,"Health","THRB"
"Thrb",729,0,-0.825222496677385,0.187,0.275,0,"AKI","THRB"
"Chpt1",732,0,-0.833131886953971,0.202,0.298,0,"AKI","CHPT1"
"Chpt1",38,0,0.836407963855335,0.306,0.242,0,"Health","CHPT1"
"Cryl1",835,3.82718214502576e-287,-0.590527836024609,0.122,0.177,1.03842933140984e-282,"AKI","CRYL1"
"Cryl1",39,0,0.836077220142659,0.212,0.137,0,"Health","CRYL1"
"Rgl1",675,0,-0.557484471125993,0.06,0.1,0,"AKI","RGL1"
"Rgl1",41,0,0.833135408986871,0.139,0.067,0,"Health","RGL1"
"Pdzd2",42,0,0.828369509015128,0.226,0.14,0,"Health","PDZD2"
"Pdzd2",681,0,-0.588436862567639,0.127,0.183,0,"AKI","PDZD2"
"Jarid2",43,0,0.823429923104423,0.165,0.125,0,"Health","JARID2"
"Jarid2",854,3.38184505556535e-255,-0.637529580762356,0.104,0.157,9.17596018926546e-251,"AKI","JARID2"
"Mtus1",44,0,0.820378869260058,0.2,0.119,0,"Health","MTUS1"
"Mtus1",712,0,-0.734268010761247,0.1,0.164,0,"AKI","MTUS1"
"Pank1",46,0,0.796734643181317,0.134,0.064,0,"Health","PANK1"
"Pank1",719,0,-0.755212997100093,0.047,0.104,0,"AKI","PANK1"
"Slc22a28",47,0,0.784510324964183,0.151,0.089,0,"Health","SLC22A9"
"Slc22a28",794,0,-1.49941214731303,0.038,0.152,0,"AKI","SLC22A9"
"Slc22a28",1240,0,0.710880453597052,0.153,0.074,0,"CKD","SLC22A9"
"Phyhipl",48,0,0.780491709275416,0.164,0.105,0,"Health","PHYHIPL"
"Phyhipl",946,1.72029180222249e-177,-0.477906979683278,0.093,0.137,4.66766774697029e-173,"AKI","PHYHIPL"
"Wdr17",748,0,-0.936235778015069,0.092,0.141,0,"AKI","WDR17"
"Wdr17",1555,6.86083788043419e-70,0.284612439836021,0.132,0.112,1.86155114209821e-65,"CKD","WDR17"
"Wdr17",49,0,0.775434803363617,0.155,0.109,0,"Health","WDR17"
"Fnip2",1120,4.00122255082384e-89,-0.222880575707486,0.203,0.227,1.08565171471503e-84,"AKI","FNIP2"
"Fnip2",50,0,0.774502385067901,0.279,0.2,0,"Health","FNIP2"
"Fnip2",1310,2.2285379441822e-267,-0.435857440337489,0.196,0.228,6.04669200394956e-263,"CKD","FNIP2"
"Ptprd",51,0,0.773259817612025,0.284,0.236,0,"Health","PTPRD"
"Ptprd",1323,2.93422546562417e-248,0.318402625764717,0.301,0.217,7.96143395587805e-244,"CKD","PTPRD"
"Ptprd",757,0,-0.973363395744538,0.184,0.295,0,"AKI","PTPRD"
"Tfdp2",698,0,-0.646705682786133,0.069,0.105,0,"AKI","TFDP2"
"Tfdp2",52,0,0.76746539479934,0.121,0.081,0,"Health","TFDP2"
"Vmn1r18",745,0,-0.925939953296861,0.012,0.105,0,"AKI","VN1R5"
"Vmn1r18",53,0,0.748775179427404,0.12,0.049,0,"Health","VN1R5"
"Nnt",710,0,-0.706135340415058,0.07,0.11,0,"AKI","NNT"
"Nnt",55,0,0.74257731971661,0.135,0.081,0,"Health","NNT"
"Slc25a21",57,0,0.72089123910354,0.293,0.217,0,"Health","SLC25A21"
"Slc25a21",763,0,-1.0018515769539,0.169,0.283,0,"AKI","SLC25A21"
"Slc25a21",1388,4.54547062178138e-166,0.38881962500548,0.277,0.209,1.23332254380794e-161,"CKD","SLC25A21"
"Pik3c2g",58,0,0.714546823212615,0.165,0.1,0,"Health","PIK3C2G"
"Pik3c2g",973,2.86129397228752e-165,-0.264320555719313,0.108,0.118,7.76354893500773e-161,"AKI","PIK3C2G"
"Pik3c2g",1505,3.62800403751979e-84,-0.325725247030442,0.09,0.126,9.84386335500244e-80,"CKD","PIK3C2G"
"Cubn",685,0,-0.59550748308588,0.092,0.148,0,"AKI","CUBN"
"Cubn",59,0,0.706240181439595,0.183,0.108,0,"Health","CUBN"
"Alas1",60,0,0.705257407488448,0.114,0.072,0,"Health","ALAS1"
