"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"89",0,0.526267508216071,0.305,0.115,0,LD,DHRS3,0.19
"90",0,0.525739769813227,0.463,0.214,0,LD,NFKBIA,0.249
"91",0,0.525535083892626,0.603,0.388,0,LD,ADI1,0.215
"92",0,0.521610527762033,0.765,0.61,0,LD,JUND,0.155
"93",0,0.516709477188031,0.588,0.391,0,LD,DCXR,0.197
"94",0,0.515537791406583,0.573,0.301,0,LD,DUSP1,0.272
"95",0,0.514836773420802,0.299,0.146,0,LD,FOSB,0.153
"96",0,0.514347054188867,0.386,0.201,0,LD,ATP5J,0.185
"97",0,0.513681418887032,1,0.956,0,LD,MT-CO3,0.044
"98",0,0.503312724185127,0.51,0.33,0,LD,CA2,0.18
"99",0,0.500819847257441,0.292,0.139,0,LD,RCAN1,0.153
"100",0,0.499814396340783,0.103,0.024,0,LD,SLC6A19,0.079
"101",0,0.499504964960712,0.31,0.109,0,LD,ATP6V1B1,0.201
"102",0,0.49428838427754,0.31,0.15,0,LD,TACC1,0.16
"103",0,0.49337740986186,0.608,0.419,0,LD,MT1X,0.189
"104",0,0.49013884240252,0.559,0.355,0,LD,HERPUD1,0.204
"105",0,0.481737213515954,0.409,0.223,0,LD,ATP5L,0.186
"106",0,0.48043005878295,0.724,0.548,0,LD,CYSTM1,0.176
"107",0,0.473887509051722,0.327,0.165,0,LD,DHRS4L2,0.162
"108",0,0.471824809025913,0.131,0.007,0,LD,7SK.2,0.124
"109",0,0.471700109149666,0.39,0.211,0,LD,USMG5,0.179
"110",0,0.469544606613086,0.279,0.115,0,LD,PVALB,0.164
"111",0,0.466204205377588,0.411,0.223,0,LD,ATP5I,0.188
"112",0,0.45824612033226,0.269,0.093,0,LD,RNF152,0.176
"113",0,0.439011592968818,0.289,0.125,0,LD,CREM,0.164
"114",0,0.438207278369273,0.153,0.052,0,LD,ADM,0.101
"115",0,0.436788608989257,0.162,0.023,0,LD,MAFF,0.139
"116",0,0.436536647775763,0.194,0.073,0,LD,C19orf77,0.121
"117",0,0.432125466899484,0.124,0.039,0,LD,SNCG,0.085
"118",0,0.430464198848632,0.117,0.036,0,LD,FAM24B,0.081
"119",0,0.429444818226222,0.304,0.114,0,LD,SHFM1,0.19
"120",0,0.425202047475192,0.314,0.138,0,LD,PTP4A1,0.176
"121",0,0.423088106107046,0.401,0.221,0,LD,ATP5D,0.18
"122",0,0.417948901961254,0.301,0.146,0,LD,BHLHE40,0.155
"123",0,0.41732309909018,0.286,0.111,0,LD,KLF10,0.175
"124",0,0.417129121982588,0.497,0.336,0,LD,C11orf54,0.161
"125",0,0.416716703769202,0.423,0.223,0,LD,TOB1,0.2
"126",0,0.414558444081752,0.368,0.199,0,LD,RHOBTB3,0.169
"127",0,0.414022002213937,0.147,0.053,0,LD,C8orf4,0.094
"128",0,0.413376093295241,0.387,0.214,0,LD,ATP5G3,0.173
"129",0,0.408547766260628,0.204,0.058,0,LD,CDKN1A,0.146
"130",0,0.405374285830677,0.314,0.133,0,LD,ALDH1L1,0.181
"131",0,0.404301912768318,0.352,0.17,0,LD,FBXO21,0.182
"132",0,0.403279331671293,0.459,0.255,0,LD,GABARAPL1,0.204
"133",0,0.403230307546407,1,0.975,0,LD,MT-CO2,0.025
"134",0,0.401361983664277,0.396,0.209,0,LD,TCEB2,0.187
"135",0,0.400842869187596,0.31,0.153,0,LD,DNAJB1,0.157
"136",0,0.400370829917741,0.24,0.073,0,LD,SELK,0.167
"137",0,0.399518386019682,0.142,0.047,0,LD,AZGP1,0.095
"138",0,0.399051796663889,0.815,0.66,0,LD,PEBP1,0.155
"139",0,0.396838476701306,0.365,0.177,0,LD,MCL1,0.188
"140",0,0.396250138678309,0.447,0.253,0,LD,COX7A1,0.194
"141",0,0.385545004437736,0.251,0.115,0,LD,NEDD9,0.136
"142",0,0.385176408427809,0.312,0.13,0,LD,MYEOV2,0.182
"143",0,0.384987018768376,0.57,0.393,0,LD,MPC1,0.177
"144",0,0.383265582575807,0.477,0.311,0,LD,GLRX,0.166
"145",0,0.381415068101149,0.17,0.058,0,LD,ETNK2,0.112
"146",0,0.380520692528677,0.163,0.059,0,LD,FAM107A,0.104
"147",0,0.378471487988354,0.233,0.103,0,LD,ETS2,0.13
"148",0,0.378235721093853,0.855,0.656,0,LD,MT-ATP8,0.199
"149",0,0.378086892387828,0.46,0.254,0,LD,CRYL1,0.206
"150",0,0.375623943454438,0.538,0.349,0,LD,JUN,0.189
"151",0,0.375119577670493,0.399,0.214,0,LD,ATP5G2,0.185
"152",0,0.372195472540289,0.469,0.257,0,LD,SLC3A2,0.212
"153",0,0.370172184096095,0.275,0.126,0,LD,DUSP6,0.149
"154",0,0.36144357154663,0.32,0.178,0,LD,NQO2,0.142
"155",0,0.356820540183175,0.22,0.051,0,LD,SLC25A33,0.169
"156",0,0.353215491531575,0.484,0.258,0,LD,NDRG1,0.226
"157",0,0.347151118164875,0.556,0.369,0,LD,RHOB,0.187
"158",0,0.34688399061342,0.359,0.185,0,LD,C14orf2,0.174
"159",0,0.343113851924774,0.248,0.089,0,LD,GLTSCR2,0.159
"160",0,0.342625577094162,0.122,0.011,0,LD,ZBTB16,0.111
"161",0,0.337290847370488,0.381,0.2,0,LD,GAS6,0.181
"162",0,0.32828884114429,0.4,0.211,0,LD,ECI2,0.189
"163",0,0.327465421312436,0.824,0.682,0,LD,UBC,0.142
"164",0,0.327359081499113,0.333,0.179,0,LD,GPX1,0.154
"165",0,0.326292678940743,0.211,0.073,0,LD,C21orf33,0.138
"166",0,0.325662666190644,0.386,0.213,0,LD,UQCR11.1,0.173
"167",0,0.322666205209403,0.442,0.241,0,LD,OGDHL,0.201
"168",0,0.32240092119335,0.252,0.084,0,LD,MIR22HG,0.168
"169",0,0.321768892047259,0.137,0.033,0,LD,ZNF331,0.104
"170",0,0.321528006548014,0.107,0.002,0,LD,NR4A3,0.105
"171",0,0.320728470083426,0.199,0.068,0,LD,SOCS2,0.131
"172",0,0.319850788667028,0.288,0.132,0,LD,ATP5H,0.156
"173",0,0.319841257908079,0.442,0.262,0,LD,SLC25A4,0.18
"174",0,0.319730992375458,0.618,0.402,0,LD,MT-ND6,0.216
"175",0,0.319326154461027,0.435,0.272,0,LD,PTH1R,0.163
"176",0,0.318833057652278,0.837,0.716,0,LD,COX6C,0.121
"177",0,0.31877964805835,0.281,0.151,0,LD,QDPR,0.13
"178",0,0.316868265325521,0.356,0.181,0,LD,ATP5J2,0.175
"179",0,0.314325443475484,0.3,0.156,0,LD,CCND1,0.144
"180",0,0.313755338942283,0.648,0.466,0,LD,MT1E,0.182
"181",0,0.311552515983749,0.269,0.106,0,LD,MRP63,0.163
"182",0,0.310831820066606,0.444,0.272,0,LD,ALDH2,0.172
"183",0,0.308806874876771,0.136,0.025,0,LD,AGPAT9,0.111
"184",0,0.306784532602208,0.289,0.161,0,LD,ALDH3A2,0.128
"185",0,0.305151539679692,0.292,0.12,0,LD,C19orf43,0.172
"186",0,0.305126823297139,0.353,0.199,0,LD,HAGH,0.154
"187",0,0.30427356933549,0.316,0.155,0,LD,MACROD1,0.161
"188",0,0.303653120115571,0.506,0.353,0,LD,SAT2,0.153
"189",0,0.301525487310047,0.328,0.159,0,LD,NDUFB8.1,0.169
"190",0,0.298728039677828,0.226,0.075,0,LD,C17orf89,0.151
"191",0,0.298697833578625,0.893,0.767,0,LD,RPL37A,0.126
"192",0,0.297223908969296,0.447,0.261,0,LD,FDX1,0.186
"193",0,0.292810040210303,0.128,0.015,0,LD,SIK1,0.113
"194",0,0.292715696743274,0.754,0.593,0,LD,NDUFB1,0.161
"195",0,0.288140642477082,0.284,0.117,0,LD,SF3B14,0.167
"196",0,0.287624525328525,0.994,0.932,0,LD,MT-ND5,0.0619999999999999
"197",0,0.285427108000106,0.267,0.109,0,LD,NHP2L1,0.158
"198",0,0.284912821157608,0.146,0.039,0,LD,LDLR,0.107
"199",0,0.284152837714509,0.17,0.056,0,LD,HPGD,0.114
"200",0,0.283989776504944,0.162,0.034,0,LD,SLC25A25,0.128
"201",0,0.281792613669805,0.146,0.054,0,LD,HSD17B14,0.092
"202",0,0.281567959768131,0.357,0.186,0,LD,PIM3,0.171
"203",0,0.28014901006933,0.314,0.145,0,LD,TMEM66,0.169
"204",0,0.279974301778303,0.225,0.074,0,LD,TCEB1,0.151
"205",0,0.277012344395282,0.355,0.185,0,LD,PHYH,0.17
"206",0,0.275435802167204,0.207,0.097,0,LD,FZD4,0.11
"207",0,0.274699156025879,0.336,0.176,0,LD,ATP5G1,0.16
"208",0,0.274399782995023,0.236,0.095,0,LD,TSPAN7,0.141
"209",0,0.273776573669283,0.552,0.382,0,LD,IER2,0.17
"210",0,0.273464125587146,0.266,0.119,0,LD,BTG3,0.147
"211",0,0.272659917463105,0.309,0.15,0,LD,ATP5C1,0.159
"212",0,0.271938271332582,1,0.973,0,LD,MT-CO1,0.027
"213",0,0.271605408637378,0.183,0.05,0,LD,TEX41,0.133
"214",0,0.269924304950743,0.288,0.149,0,LD,KIAA1191,0.139
"215",0,0.267064227108499,0.34,0.178,0,LD,MIDN,0.162
"216",0,0.266568877272698,0.736,0.554,0,LD,NDUFC1,0.182
"217",0,0.265836829165629,0.446,0.267,0,LD,ATP5E,0.179
"218",0,0.265435887742206,0.107,0.021,0,LD,HBEGF,0.086
"219",0,0.265384342288554,0.13,0.026,0,LD,CRABP1,0.104
"220",0,0.265056916685322,0.323,0.178,0,LD,FOSL2,0.145
"221",0,0.262170607104004,0.282,0.129,0,LD,CTNNAL1,0.153
"222",0,0.261943152581024,0.202,0.077,0,LD,TRIB1,0.125
"223",0,0.261933370100447,0.124,0.018,0,LD,KLF15,0.106
"224",0,0.258943171506058,0.726,0.562,0,LD,HSP90AB1,0.164
"225",0,0.258861755302495,0.298,0.135,0,LD,LSMD1,0.163
"226",0,0.256610716366964,0.591,0.411,0,LD,HSPD1,0.18
"227",0,0.255335733557196,0.313,0.167,0,LD,NGFRAP1,0.146
"228",0,0.25432083033635,0.471,0.288,0,LD,DNAJC19,0.183
"229",0,0.254291227708976,1,0.945,0,LD,MT-ATP6,0.0550000000000001
"230",0,0.251429257564819,0.256,0.132,0,LD,MTHFS,0.124
"231",0,0.249977493097962,0.808,0.658,0,LD,TOMM7,0.15
"232",0,0.249484185701653,0.24,0.113,0,LD,ACADSB,0.127
"233",0,0.247438441248416,0.115,0.027,0,LD,PART1,0.088
"234",0,0.246448238971513,0.302,0.144,0,LD,IDI1,0.158
"235",0,0.246066873536494,0.614,0.429,0,LD,NDUFAB1,0.185
"236",0,0.246051759644619,0.598,0.409,0,LD,ETFB,0.189
"237",0,0.244214539460211,0.103,0.022,0,LD,DUSP5,0.081
"238",0,0.24246343258655,0.51,0.335,0,LD,ACAT1,0.175
"239",0,0.240657898078513,0.166,0.06,0,LD,BAG3,0.106
"240",0,0.239676149841053,0.118,0.031,0,LD,NR0B2,0.087
"241",0,0.23856333260539,0.453,0.312,0,LD,LMNA,0.141
"242",0,0.238435540026992,0.441,0.273,0,LD,GCSH,0.168
"243",0,0.236045621505984,0.443,0.286,0,LD,HSD11B2,0.157
"244",0,0.233010844934801,0.271,0.123,0,LD,MMP24-AS1,0.148
"245",0,0.232963673629292,0.137,0.042,0,LD,ELL2,0.095
"246",0,0.231807618962222,0.147,0.038,0,LD,NFIL3,0.109
"247",0,0.231276608914038,0.217,0.086,0,LD,LINC00671,0.131
"248",0,0.22870286773402,0.298,0.15,0,LD,ATP5O,0.148
"249",0,0.227766629409997,0.522,0.321,0,LD,EIF1AX,0.201
"250",0,0.226021546277466,0.279,0.134,0,LD,NUDT16,0.145
"251",0,0.225993932749093,0.224,0.087,0,LD,LINC00116,0.137
"252",0,0.225589914342056,0.591,0.437,0,LD,ECHS1,0.154
"253",0,0.225530827044399,0.523,0.331,0,LD,HINT2,0.192
"254",0,0.224457746372781,0.267,0.116,0,LD,C11orf31,0.151
"255",0,0.224395261161519,0.68,0.526,0,LD,HSPA8,0.154
"256",0,0.220955089695422,0.425,0.256,0,LD,METTL7A,0.169
"257",0,0.220069997456051,0.542,0.388,0,LD,BTG1,0.154
"258",0,0.219517063766546,0.147,0.043,0,LD,RALYL,0.104
"259",0,0.21939293082998,0.387,0.225,0,LD,BEX2,0.162
