"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Fgfr2",39,0,-0.432293623551319,0.401,0.585,0,"Health","FGFR2"
"B3glct",1222,0,0.845545694250729,0.566,0.379,0,"CKD","B3GLCT"
"B3glct",40,0,-0.597870198410775,0.328,0.475,0,"Health","B3GLCT"
"B3glct",634,0,-0.487400646497298,0.403,0.477,0,"AKI","B3GLCT"
"Rbpms",42,0,-0.680830245857822,0.195,0.329,0,"Health","RBPMS"
"Rbpms",804,2.60666265341107e-177,0.337711825665609,0.34,0.269,7.07265777750024e-173,"AKI","RBPMS"
"Ssh2",1594,2.95186973595939e-34,-0.219750281503368,0.203,0.228,8.00930815457861e-30,"CKD","SSH2"
"Ssh2",43,0,-0.69021810188676,0.131,0.243,0,"Health","SSH2"
"Ssh2",628,0,0.593855102491586,0.275,0.176,0,"AKI","SSH2"
"Arid5b",632,0,0.510817647190864,0.322,0.233,0,"AKI","ARID5B"
"Arid5b",44,0,-0.715707359067662,0.176,0.298,0,"Health","ARID5B"
"Syne2",741,2.39769556363197e-246,0.445961774967524,0.317,0.237,6.50566737280262e-242,"AKI","SYNE2"
"Syne2",45,0,-0.764022307026499,0.162,0.302,0,"Health","SYNE2"
"Tjp2",46,0,-0.83137265807197,0.118,0.226,0,"Health","TJP2"
"Tjp2",587,0,1.03952899838297,0.292,0.134,0,"AKI","TJP2"
"Tjp2",1243,0,-0.67283450680801,0.143,0.236,0,"CKD","TJP2"
"Mast4",1497,9.60438247180318e-62,-0.465004878456271,0.341,0.351,2.60595709607436e-57,"CKD","MAST4"
"Mast4",598,0,0.911014987791659,0.411,0.298,0,"AKI","MAST4"
"Mast4",48,0,-0.92030850210661,0.227,0.38,0,"Health","MAST4"
"Lpp",712,7.83828904078123e-305,0.525291969913898,0.342,0.257,2.12676296543517e-300,"AKI","LPP"
"Lpp",49,0,-0.927097520360544,0.159,0.331,0,"Health","LPP"
"Myh9",579,0,1.20493565685486,0.246,0.101,0,"AKI","MYH9"
"Myh9",50,0,-0.982607960546114,0.085,0.186,0,"Health","MYH9"
"Myh9",1249,0,-0.792058395157006,0.111,0.194,0,"CKD","MYH9"
"Stat3",1344,5.39426447240397e-136,-0.391143597265604,0.122,0.175,1.46362577929737e-131,"CKD","STAT3"
"Stat3",600,0,0.892116575902691,0.227,0.101,0,"AKI","STAT3"
"Stat3",51,0,-1.01965691794753,0.066,0.18,0,"Health","STAT3"
"Fkbp5",597,0,0.911089482886169,0.314,0.179,0,"AKI","FKBP5"
"Fkbp5",52,0,-1.05630568605942,0.13,0.267,0,"Health","FKBP5"
"Fkbp5",1407,3.57545140345731e-92,-0.395220193711548,0.208,0.255,9.70127229300072e-88,"CKD","FKBP5"
"Map3k1",53,0,-1.08973683045004,0.079,0.196,0,"Health","MAP3K1"
"Map3k1",617,0,0.708450618335719,0.216,0.136,0,"AKI","MAP3K1"
"Efna5",1416,1.63481385348038e-89,-0.785043665559566,0.216,0.249,4.43574042864832e-85,"CKD","EFNA5"
"Efna5",54,0,-1.11657568342683,0.154,0.26,0,"Health","EFNA5"
"Efna5",578,0,1.25889998196487,0.294,0.193,0,"AKI","EFNA5"
"Sdc4",55,0,-1.18217362411063,0.052,0.162,0,"Health","SDC4"
"Sdc4",766,2.03393896187745e-215,0.644897836744211,0.171,0.113,5.51868658526208e-211,"AKI","SDC4"
"Sat1",56,0,-1.18624311819484,0.067,0.162,0,"Health","SAT1"
"Sat1",575,0,1.30789787314716,0.195,0.101,0,"AKI","SAT1"
"Sat1",1438,5.33753074089342e-81,-0.80928728259758,0.122,0.153,1.44823221592661e-76,"CKD","SAT1"
"Dcdc2a",57,0,-1.24823461853161,0.033,0.118,0,"Health","DCDC2"
"Dcdc2a",1453,4.66692076612129e-78,0.498337251411243,0.12,0.089,1.26627561147169e-73,"CKD","DCDC2"
"Bmp6",573,0,1.3919482340997,0.305,0.187,0,"AKI","BMP6"
"Bmp6",59,0,-1.31345798135733,0.155,0.262,0,"Health","BMP6"
"Bmp6",1338,1.59953282589321e-146,-0.849232671611823,0.207,0.257,4.34001241649605e-142,"CKD","BMP6"
"Adk",596,0,0.917343807855662,0.309,0.207,0,"AKI","ADK"
"Adk",60,0,-1.32581265988375,0.171,0.274,0,"Health","ADK"
"Adk",1501,5.57101195935617e-61,-0.281463743955954,0.229,0.264,1.51158267493211e-56,"CKD","ADK"
"Rtn4",570,0,1.69079754335677,0.213,0.055,0,"AKI","RTN4"
"Rtn4",1253,0,-1.15109527524672,0.066,0.156,0,"CKD","RTN4"
"Rtn4",62,0,-1.46705358764004,0.037,0.148,0,"Health","RTN4"
"Col18a1",64,0,-1.6347481124282,0.081,0.281,0,"Health","COL18A1"
"Col18a1",1324,8.73694491052554e-157,-0.414583181933764,0.197,0.261,2.37059526257289e-152,"CKD","COL18A1"
"Col18a1",582,0,1.13899826427983,0.348,0.153,0,"AKI","COL18A1"
"Il34",580,0,1.17269456749118,0.278,0.121,0,"AKI","IL34"
"Il34",1327,5.02644448229444e-151,-0.421655356659007,0.152,0.21,1.36382518138095e-146,"CKD","IL34"
"Il34",65,0,-1.72410887376591,0.069,0.222,0,"Health","IL34"
"Chd9",571,0,1.67649719370002,0.294,0.141,0,"AKI","CHD9"
"Chd9",1320,1.22980289458246e-163,-0.963753140971746,0.178,0.224,3.3368241938706e-159,"CKD","CHD9"
"Chd9",66,0,-1.85018339943489,0.078,0.243,0,"Health","CHD9"
"Spp1",67,0,-3.56439459054638,0.002,0.124,0,"Health","SPP1"
"Spp1",1266,4.83636880002874e-274,-1.79132016664596,0.061,0.118,1.3122519465118e-269,"CKD","SPP1"
"Spp1",566,0,2.78014859141632,0.173,0.039,0,"AKI","SPP1"
"Nrg1",1260,3.96516470310323e-288,-0.803612087444689,0.09,0.162,1.075868138893e-283,"CKD","NRG1"
"Nrg1",576,0,1.2934004335256,0.205,0.083,0,"AKI","NRG1"
"Nrg1",68,3.48871172233816e-305,-1.16261021352843,0.07,0.155,9.46592151622012e-301,"Health","NRG1"
"Zbtb20",1240,0,0.2734380566887,0.578,0.467,0,"CKD","ZBTB20"
"Zbtb20",653,0,-0.836011121835782,0.457,0.544,0,"AKI","ZBTB20"
"Zbtb20",69,1.20051557095416e-297,0.689352112599496,0.487,0.51,3.25735889866992e-293,"Health","ZBTB20"
"Rock2",70,2.64337670373782e-292,-0.743363801724212,0.099,0.194,7.17227401025182e-288,"Health","ROCK2"
"Rock2",586,0,1.04147409762797,0.252,0.113,0,"AKI","ROCK2"
"Rock2",1247,0,-0.730091596636413,0.122,0.202,0,"CKD","ROCK2"
"Fnip2",1484,2.24583551950935e-67,-0.435857440337489,0.196,0.228,6.09362551508473e-63,"CKD","FNIP2"
"Fnip2",1104,2.92581565213199e-37,-0.222880575707486,0.203,0.227,7.93861560892972e-33,"AKI","FNIP2"
"Fnip2",71,1.51552476696948e-280,0.774502385067901,0.279,0.2,4.1120733502183e-276,"Health","FNIP2"
