"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"88",0,0.882417463335526,0.872,0.717,0,Control,RORA,0.155
"89",0,0.880414410533774,0.158,0.03,0,Control,SLC34A1,0.128
"90",0,0.858523014395356,0.313,0.2,0,Control,SLC17A1,0.113
"91",0,0.858127625731191,0.196,0.026,0,Control,TMEM246-AS1,0.17
"92",0,0.853471766062689,0.566,0.354,0,Control,NTN4,0.212
"93",0,0.843057861076018,0.264,0.14,0,Control,KCTD16,0.124
"94",0,0.842775777686619,0.331,0.245,0,Control,TINAG,0.086
"95",0,0.841887075107611,0.234,0.119,0,Control,LINC00871,0.115
"96",0,0.840505442811211,0.445,0.234,0,Control,STK32B,0.211
"97",0,0.839580715711808,0.303,0.189,0,Control,RHOBTB1,0.114
"98",0,0.835753106849698,0.656,0.466,0,Control,NR2F2-AS1,0.19
"99",0,0.833183744558189,0.555,0.314,0,Control,TAPT1-AS1,0.241
"100",0,0.830362368604189,0.809,0.718,0,Control,PLEKHA5,0.0910000000000001
"101",0,0.825843887480142,0.396,0.226,0,Control,MYO3B,0.17
"102",0,0.825741015268581,0.282,0.1,0,Control,KL,0.182
"103",0,0.818248797092863,0.393,0.159,0,Control,AFMID,0.234
"104",0,0.809608985305683,0.223,0.059,0,Control,FUT6,0.164
"105",0,0.805303417294293,0.374,0.143,0,Control,ZNF385B,0.231
"106",0,0.803226592621162,0.105,0.028,0,Control,CALB1,0.077
"107",0,0.802916176893922,0.287,0.149,0,Control,MME,0.138
"108",0,0.801011772024185,0.32,0.193,0,Control,RBFOX1,0.127
"109",0,0.798685010880641,0.459,0.3,0,Control,BHMT2,0.159
"110",0,0.79857769222188,0.334,0.178,0,Control,SLC47A1,0.156
"111",0,0.79814071540334,0.38,0.174,0,Control,DAB1,0.206
"112",0,0.796681749145345,0.267,0.108,0,Control,SEMA6D,0.159
"113",0,0.78720441773656,0.312,0.209,0,Control,ENPEP,0.103
"114",0,0.779648874530865,0.765,0.596,0,Control,ATP1B1,0.169
"115",0,0.776816923596825,0.221,0.082,0,Control,PXDNL,0.139
"116",0,0.776684239307873,0.219,0.083,0,Control,ADAMTS17,0.136
"117",0,0.77208638653973,0.381,0.24,0,Control,PDZK1,0.141
"118",0,0.765274974479237,0.331,0.177,0,Control,CDHR3,0.154
"119",0,0.762163045215996,0.149,0.041,0,Control,UNC13C,0.108
"120",0,0.761343389327933,0.469,0.325,0,Control,RNF152,0.144
"121",0,0.755528021831413,0.588,0.397,0,Control,CLCN5,0.191
"122",0,0.754974545134505,0.21,0.069,0,Control,HNF4A,0.141
"123",0,0.75444763503755,0.683,0.51,0,Control,PLXDC2,0.173
"124",0,0.751885228896117,0.601,0.464,0,Control,DLG2,0.137
"125",0,0.749412748591315,0.134,0.004,0,Control,AFM,0.13
"126",0,0.744420327436064,0.583,0.386,0,Control,PPARA,0.197
"127",0,0.742404243740778,0.55,0.38,0,Control,CYFIP2,0.17
"128",0,0.738523454677583,0.307,0.102,0,Control,VEPH1,0.205
"129",0,0.734165696964585,0.776,0.694,0,Control,CCSER1,0.0820000000000001
"130",0,0.733695366135137,0.258,0.145,0,Control,AL589669.1,0.113
