"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Slc16a7",353,0,0.33183716951563,0.148,0.019,0,"Control",0.129,"SLC16A7"
"Enpp2",354,0,0.330426156407773,0.243,0.101,0,"Control",0.142,"ENPP2"
"Kcnj1",355,0,0.330246552502551,0.145,0.019,0,"Control",0.126,"KCNJ1"
"Clu",356,0,0.323553467180393,0.158,0.041,0,"Control",0.117,"CLU"
"Oat",357,0,0.323190873805348,0.23,0.075,0,"Control",0.155,"OAT"
"Pvalb",358,0,0.320443100817917,0.112,0.012,0,"Control",0.1,"PVALB"
"Fbp1",359,0,0.31848037546856,0.436,0.319,0,"Control",0.117,"FBP1"
"Sostdc1",360,0,0.315908179186356,0.146,0.025,0,"Control",0.121,"SOSTDC1"
"Uqcrc1",361,0,0.311816295746752,0.413,0.277,0,"Control",0.136,"UQCRC1"
"Wfdc2",362,0,0.308888385564675,0.222,0.113,0,"Control",0.109,"WFDC2"
"Pah",363,0,0.302618565124241,0.45,0.34,0,"Control",0.11,"PAH"
"Car14",364,0,0.298968457444286,0.212,0.077,0,"Control",0.135,"CA14"
"Slc5a12",365,0,0.298005787669834,0.209,0.092,0,"Control",0.117,"SLC5A12"
"Sdha",366,0,0.29704242469833,0.415,0.286,0,"Control",0.129,"SDHA"
"Nudt4",367,0,0.295120993942166,0.3,0.203,0,"Control",0.097,"NUDT4"
"Hoxd8",368,0,0.288287598962555,0.156,0.034,0,"Control",0.122,"HOXD8"
"Ass1",369,0,0.288274903128349,0.688,0.635,0,"Control",0.0529999999999999,"ASS1"
"S100a1",370,0,0.284507917467248,0.579,0.485,0,"Control",0.094,"S100A1"
"Car12",371,0,0.28278605619037,0.268,0.161,0,"Control",0.107,"CA12"
"Asl",372,0,0.281215867526551,0.259,0.141,0,"Control",0.118,"ASL"
"Lgmn",373,0,0.281209389639212,0.421,0.315,0,"Control",0.106,"LGMN"
"Slc5a2",374,0,0.280908208468466,0.229,0.127,0,"Control",0.102,"SLC5A2"
"Atp1b1",375,0,0.277950051852905,0.751,0.659,0,"Control",0.092,"ATP1B1"
"Atp6v1e1",377,0,0.273468039602777,0.472,0.37,0,"Control",0.102,"ATP6V1E1"
"Slc25a5",378,0,0.272163177962266,0.703,0.616,0,"Control",0.087,"SLC25A5"
"Atp5g3",379,0,0.263645861897533,0.759,0.675,0,"Control",0.084,"ATP5MC3"
"Dbp",380,0,0.262743936150519,0.22,0.107,0,"Control",0.113,"DBP"
"Slc43a2",381,0,0.261072573977392,0.201,0.089,0,"Control",0.112,"SLC43A2"
"Sec62",382,0,0.259917772083132,0.502,0.404,0,"Control",0.098,"SEC62"
"Mgst3",384,0,0.259468855993025,0.304,0.197,0,"Control",0.107,"MGST3"
"Cdh16",385,0,0.257506189121196,0.402,0.311,0,"Control",0.091,"CDH16"
"Kl",386,0,0.255742668107112,0.443,0.361,0,"Control",0.082,"KL"
"Ppargc1a",387,0,0.254957669336226,0.223,0.11,0,"Control",0.113,"PPARGC1A"
"Ubc",388,0,0.253234698181887,0.5,0.402,0,"Control",0.098,"UBC"
"mt-Nd3",389,0,0.251609495775219,0.764,0.729,0,"Control",0.035,"MT-ND3"
"Cyp2d26",390,0,0.250408201679092,0.167,0.061,0,"Control",0.106,"CYP2D6"
"Cyc1",391,0,0.247948952728273,0.535,0.442,0,"Control",0.093,"CYC1"
"Igfbp5",392,0,0.247191671516679,0.155,0.062,0,"Control",0.093,"IGFBP5"
"Wnk4",393,0,0.246654878650746,0.166,0.071,0,"Control",0.095,"WNK4"
"Epcam",394,0,0.243350251539165,0.126,0.025,0,"Control",0.101,"EPCAM"
"Slc7a8",395,0,0.241936862876131,0.186,0.082,0,"Control",0.104,"SLC7A8"
"Mif",396,0,0.24180262455815,0.691,0.623,0,"Control",0.068,"MIF"
"Scnn1a",397,0,0.241592329742013,0.119,0.018,0,"Control",0.101,"SCNN1A"
"Mdh2",398,0,0.241571172150169,0.4,0.298,0,"Control",0.102,"MDH2"
"Aldoa",399,0,0.240873170877282,0.577,0.49,0,"Control",0.087,"ALDOA"
"Uqcrfs1",401,0,0.23655357699957,0.558,0.479,0,"Control",0.0790000000000001,"UQCRFS1"
"Ckb",402,0,0.23627712086867,0.125,0.039,0,"Control",0.086,"CKB"
"Acaa2",403,0,0.235879680634037,0.231,0.125,0,"Control",0.106,"ACAA2"
"Slc7a7",405,0,0.234948844108149,0.18,0.084,0,"Control",0.096,"SLC7A7"
"Tceal9",406,0,0.234693564726503,0.244,0.139,0,"Control",0.105,"TCEAL9"
"Eno1",407,0,0.232120030613415,0.341,0.235,0,"Control",0.106,"ENO1"
"Mecom",408,0,0.231148984859633,0.115,0.017,0,"Control",0.098,"MECOM"
"Tcn2",409,0,0.230864598690891,0.538,0.465,0,"Control",0.073,"TCN2"
"Herpud1",410,0,0.230750967533433,0.369,0.283,0,"Control",0.086,"HERPUD1"
"Rhcg",411,0,0.230526584892112,0.104,0.012,0,"Control",0.092,"RHCG"
"Eif3j1",412,0,0.230255925026444,0.169,0.057,0,"Control",0.112,"EIF3J"
"Cldn8",413,0,0.228214108972914,0.111,0.015,0,"Control",0.096,"CLDN8"
"Ndufv1",414,0,0.224914406263819,0.271,0.174,0,"Control",0.097,"NDUFV1"
"Slc25a3",415,0,0.223770269222105,0.719,0.666,0,"Control",0.0529999999999999,"SLC25A3"
"Ier3",416,0,0.222199147262909,0.123,0.04,0,"Control",0.083,"IER3"
"Phyh",417,0,0.219011083223471,0.354,0.263,0,"Control",0.091,"PHYH"
"Tfcp2l1",418,0,0.218374434795146,0.237,0.152,0,"Control",0.085,"TFCP2L1"
"Cox5a",419,0,0.217109317078213,0.745,0.687,0,"Control",0.0579999999999999,"COX5A"
"Aif1l",421,0,0.21246566193851,0.167,0.081,0,"Control",0.086,"AIF1L"
"Cox7a1",422,0,0.210919727936554,0.201,0.113,0,"Control",0.088,"COX7A1"
"Ndufs2",423,0,0.209337680562177,0.389,0.306,0,"Control",0.083,"NDUFS2"
"Suclg1",424,0,0.209239251720869,0.383,0.299,0,"Control",0.084,"SUCLG1"
"Cnn3",425,0,0.207959295826793,0.213,0.121,0,"Control",0.092,"CNN3"
"Tmem72",426,0,0.207843434946308,0.105,0.017,0,"Control",0.088,"TMEM72"
"Efhd1",427,0,0.206979801399751,0.103,0.016,0,"Control",0.087,"EFHD1"
"Krt7",428,0,0.203995529739715,0.102,0.019,0,"Control",0.083,"KRT7"
"Atp5c1",429,0,0.202643859525723,0.617,0.558,0,"Control",0.0589999999999999,"ATP5F1C"
