,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
93,0,0.979802657,0.371,0.175,0,Control,Errfi1,0.196

94,0,0.97904184,0.272,0.037,0,Control,0610005C13Rik,0.235

95,0,0.977473096,0.214,0.038,0,Control,Spp2,0.176

96,0,0.977060194,0.399,0.088,0,Control,Keg1,0.311

97,0,0.97704517,0.688,0.546,0,Control,Rpl31,0.142

98,0,0.973342927,0.303,0.185,0,Control,Calb1,0.118

99,0,0.97025132,0.244,0.03,0,Control,Slc47a1,0.214

100,0,0.956939774,0.619,0.421,0,Control,Ndufs6,0.198

101,0,0.953610304,0.222,0.036,0,Control,Mep1a,0.186

102,0,0.951217108,0.849,0.711,0,Control,Cox7a2,0.138

103,0,0.945894781,0.471,0.228,0,Control,Pcbd1,0.243

104,0,0.94514802,0.434,0.245,0,Control,Anapc13,0.189

105,0,0.94392177,0.837,0.721,0,Control,Cox6b1,0.116

106,0,0.943503622,0.878,0.764,0,Control,Atp5e,0.114

107,0,0.940824911,0.868,0.718,0,Control,Cox7c,0.15

108,0,0.940064047,0.813,0.662,0,Control,Atp5j2,0.151

109,0,0.939063611,0.351,0.074,0,Control,Glyat,0.277

110,0,0.935873002,0.81,0.631,0,Control,Atp5g1,0.179

111,0,0.933759391,0.224,0.03,0,Control,Nat8,0.194

112,0,0.933142384,0.337,0.115,0,Control,Dcxr,0.222

113,0,0.927811197,0.372,0.167,0,Control,Ccdc107,0.205

114,0,0.923180222,0.232,0.025,0,Control,Nox4,0.207

115,0,0.916347321,0.593,0.395,0,Control,Ndufa5,0.198

116,0,0.912884072,0.175,0.012,0,Control,Slc22a30,0.163

117,0,0.909942487,0.677,0.536,0,Control,Akr1a1,0.141

118,0,0.909178793,0.251,0.036,0,Control,Tmem174,0.215

119,0,0.907704104,0.207,0.039,0,Control,Car12,0.168

120,0,0.901499366,0.291,0.115,0,Control,Snhg18,0.176

121,0,0.90088071,0.311,0.111,0,Control,Sfxn1,0.2

122,0,0.899959145,0.189,0.001,0,Control,Gm10260,0.188

123,0,0.8963859,0.311,0.121,0,Control,Galnt11,0.19

124,0,0.89373343,0.302,0.091,0,Control,Lactb2,0.211

125,0,0.88539878,0.3,0.11,0,Control,Gk,0.19

126,0,0.884804221,0.579,0.655,0,Control,Gm42418,-0.076

127,0,0.883332475,0.35,0.186,0,Control,Nudt19,0.164

128,0,0.880959088,0.238,0.025,0,Control,Hnf4a,0.213

129,0,0.880710538,0.516,0.35,0,Control,Romo1,0.166

130,0,0.875905843,0.758,0.613,0,Control,Cox7b,0.145

131,0,0.874932727,0.729,0.613,0,Control,2010107E04Rik,0.116

132,0,0.872524948,0.636,0.49,0,Control,Ndufa1,0.146

133,0,0.865199531,0.363,0.162,0,Control,Akr7a5,0.201

134,0,0.857706884,0.529,0.253,0,Control,Timp3,0.276

135,0,0.85523382,0.281,0.071,0,Control,Smim1,0.21

136,0,0.846044539,0.199,0.033,0,Control,Ces1f,0.166

137,0,0.842796392,0.237,0.066,0,Control,Polr3e,0.171

138,0,0.839403911,0.278,0.252,0,Control,Slc12a3,0.026

139,0,0.83582784,0.236,0.042,0,Control,Hao2,0.194

140,0,0.83166159,0.211,0.026,0,Control,Slc22a8,0.185

141,0,0.830774688,0.788,0.658,0,Control,Ndufa13,0.13

