,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
398,0,0.520494876,0.725,0.67,0,Control,Atp5d,0.055

399,0,0.519800269,0.394,0.488,0,Control,Klk1,-0.094

400,0,0.518375862,0.862,0.848,0,Control,Chchd2,0.014

401,0,0.518220888,0.146,0.023,0,Control,Abat,0.123

402,0,0.518094758,0.215,0.112,0,Control,Ak3,0.103

403,0,0.516529928,0.409,0.355,0,Control,Mrpl42,0.054

404,0,0.516336249,0.179,0.079,0,Control,Acox3,0.1

405,0,0.515250056,0.938,0.925,0,Control,Rpl41,0.013

406,0,0.514180459,0.154,0.042,0,Control,Ggnbp1,0.112

407,0,0.512056931,0.339,0.264,0,Control,Echs1,0.075

408,0,0.511675641,0.114,0.02,0,Control,Slc6a18,0.094

409,0,0.510645396,0.332,0.275,0,Control,Tmem147,0.057

410,0,0.509978952,0.191,0.096,0,Control,Ppargc1a,0.095

411,0,0.509506504,0.137,0.025,0,Control,Slc7a9,0.112

412,0,0.509196694,0.295,0.172,0,Control,Selenbp1,0.123

413,0,0.509048126,0.134,0.028,0,Control,Slc3a1,0.106
